Species,Reference_species,Method,parameter,Lane_Cove_NSW,Turramurra_NSW,Abaroo_Creek_NSW,Alfords_Point_NSW,Gulguer_Plateau_NSW,Prospect_Reservoir_NSW,Yeramba_Lagoon_NSW,Castlemaine_VIC,Greendale_VIC,all_data_NSW_fires
CO,CO2,White cell FTIR,ER,,,0.15,0.08,0.44,0.08,0.18,,,0.17
CO,CO2,White cell FTIR,ER unc,,,0.03,0.02,0.08,0.02,0.03,,,0.06
CO,CO2,White cell FTIR,R2,,,0.57,0.62,0.83,0.89,0.92,,,0.47
CH4,CO,White cell FTIR,ER,,,0.067,0.065,0.060,0.037,0.07,,,0.059
CH4,CO,White cell FTIR,ER unc,,,0.009,0.004,0.009,0.004,0.01,,,0.003
CH4,CO,White cell FTIR,R2,,,0.86,0.98,0.79,0.92,0.89,,,0.89
C2H4,CO2,White cell FTIR,ER,,,,,,,,,,0.0017
C2H4,CO2,White cell FTIR,ER unc,,,,,,,,,,0.0002
C2H4,CO2,White cell FTIR,R2,,,,,,,,,,0.71
C2H6,CO,White cell FTIR,ER,,,0.0045,0.0045,0.003,0.0026,0.0055,,,0.0038
C2H6,CO,White cell FTIR,ER unc,,,0.0007,0.0003,0.001,0.0002,0.0006,,,0.0003
C2H6,CO,White cell FTIR,R2,,,0.83,0.96,0.76,0.96,0.97,,,0.87
C2H4,CO2,SIFT-MS,ER,,,,,,,,,,0.0018
C2H4,CO2,SIFT-MS,ER unc,,,,,,,,,,0.0002
C2H4,CO2,SIFT-MS,R2,,,,,,,,,,0.77
C2H2,C2H4,SIFT-MS,ER,,,,,,,,,,0.21
C2H2,C2H4,SIFT-MS,ER unc,,,,,,,,,,0.04
C2H2,C2H4,SIFT-MS,R2,,,,,,,,,,0.59
HCN,CO,SIFT-MS,ER,,,,,,,,,,0.0063
HCN,CO,SIFT-MS,ER unc,,,,,,,,,,0.0007
HCN,CO,SIFT-MS,R2,,,,,,,,,,0.46
H2CO,HCN,SIFT-MS,ER,,,,,,,,,,2.9
H2CO,HCN,SIFT-MS,ER unc,,,,,,,,,,0.3
H2CO,HCN,SIFT-MS,R2,,,,,,,,,,0.65
CH3OH,CO,SIFT-MS,ER,,,0.029,0.028,,0.016,0.027,,,0.022
CH3OH,CO,SIFT-MS,ER unc,,,0.004,0.003,,0.004,0.009,,,0.002
CH3OH,CO,SIFT-MS,R2,,,0.88,0.95,,0.52,0.66,,,0.72
CH3CN,CO,SIFT-MS,ER,,,0.0031,0.0050,0.0009,0.006,0.005,,,0.0038
CH3CN,CO,SIFT-MS,ER unc,,,0.0009,0.0005,0.0003,0.002,0.001,,,0.0005
