Species,Method,parameter,units,Lane_Cove_NSW,Turramurra_NSW,Abaroo_Creek_NSW,Alfords_Point_NSW,Gulguer_Plateau_NSW,Prospect_Reservoir_NSW,Yeramba_Lagoon_NSW,Castlemaine_VIC,Greendale_VIC,all_data_NSW_fires,,,,,,,,,,,,,
MCE,OP-FTIR,MCE,,0.88,0.908,0.911,0.884,0.903,,,0.912,0.927,,,,,,,,,,,,,,
MCE,OP-FTIR,MCE unc,,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,,,,,,,,,,,,,,
CO2,OP-FTIR,EF,g kg-1,1580,1640,1650,1590,1640,,,1650,1670,,,,,,,,,,,,,,
CO2,OP-FTIR,EF unc,g kg-1,160,160,170,160,160,,,170,170,,,,,,,,,,,,,,
CO,OP-FTIR,EF,g kg-1,136,106,102,133,112,,,101,84,,,,,,,,,,,,,,
CO,OP-FTIR,EF sd,g kg-1,22,17,16,21,18,,,16,13,,,,,,,,,,,,,,
CH4,OP-FTIR,EF,g kg-1,4.8,2.9,2.7,4.8,2.7,,,3.3,3.1,,,,,,,,,,,,,,
CH4,OP-FTIR,EF sd,g kg-1,0.9,0.5,0.4,0.9,0.5,,,0.2,0.2,,,,,,,,,,,,,,
C2H4,OP-FTIR,EF,g kg-1,1.6,1.1,1.1,1.5,1.1,,,1.2,1.1,,,,,,,,,,,,,,
C2H4,OP-FTIR,EF sd,g kg-1,0.3,0.2,0.2,0.3,0.2,,,0.3,0.2,,,,,,,,,,,,,,
C2H6,OP-FTIR,EF,g kg-1,,,,0.5,,,,,,,,,,,,,,,,,,,
C2H6,OP-FTIR,EF unc,g kg-1,,,,0.2,,,,,,,,,,,,,,,,,,,
H2CO,OP-FTIR,EF,g kg-1,2.4,1.5,1.4,1.8,1.7,,,1.5,1.3,,,,,,,,,,,,,,
H2CO,OP-FTIR,EF sd,g kg-1,0.4,0.3,0.2,0.3,0.3,,,0.3,0.2,,,,,,,,,,,,,,
CH3OH,OP-FTIR,EF,g kg-1,4,1.6,1.5,3.2,1.6,,,1.7,1.5,,,,,,,,,,,,,,
CH3OH,OP-FTIR,EF sd,g kg-1,0.8,0.3,0.3,0.6,0.3,,,0.3,0.4,,,,,,,,,,,,,,
CH3COOH,OP-FTIR,EF,g kg-1,5.5,2.8,2.6,4.8,3.6,,,6.5,6,,,,,,,,,,,,,,
CH3COOH,OP-FTIR,EF sd,g kg-1,1.2,0.6,0.6,1,0.8,,,1.2,0.9,,,,,,,,,,,,,,
HCOOH,OP-FTIR,EF,g kg-1,0.7,0.26,0.29,0.43,0.36,,,0.53,0.57,,,,,,,,,,,,,,
HCOOH,OP-FTIR,EF sd,g kg-1,0.2,0.06,0.07,0.11,0.09,,,0.2,0.1,,,,,,,,,,,,,,
NH3,OP-FTIR,EF,g kg-1,2.2,1,1.4,2.4,0.8,,,1.7,1.5,,,,,,,,,,,,,,
NH3,OP-FTIR,EF sd,g kg-1,0.5,0.2,0.3,0.6,0.2,,,0.2,0.2,,,,,,,,,,,,,,
N2O,OP-FTIR,EF,g kg-1,,,,0.09,0.21,,,,,,,,,,,,,,,,,,
N2O,OP-FTIR,EF sd,g kg-1,,,,0.01,0.04,,,,,,,,,,,,,,,,,,
MCE,White cell FTIR,MCE ,,,,0.894,0.931,0.776,0.923,0.894,,,,,,,,,,,,,,,,
MCE,White cell FTIR,MCE sd,,,,0.045,0.023,0.088,0.033,0.055,,,,,,,,,,,,,,,,
CO2,White cell FTIR,mean EF,g kg-1,,,1620,1699,1405,1692,1629,,,,,,,,,,,,,,,,
CO2,White cell FTIR,EF sd,g kg-1,,,91,45,170,55,106,,,,,,,,,,,,,,,,
CO,White cell FTIR,mean EF,g kg-1,,,128,80,257,87,122,,,,,,,,,,,,,,,,
CO,White cell FTIR,EF sd,g kg-1,,,55,26,101,34,63,,,,,,,,,,,,,,,,
CH4,White cell FTIR,EF,g kg-1,,,4.4,3.1,8.6,2.1,4.3,,,4.0,,,,,,,,,,,,,
CH4,White cell FTIR,EF sd,g kg-1,,,2.7,1.3,4.6,0.9,3.0,,,0.7,,,,,,,,,,,,,
C2H4,White cell FTIR,EF,g kg-1,,,,,,,,,,1.1,,,,,,,,,,,,,
C2H4,White cell FTIR,EF unc,g kg-1,,,,,,,,,,0.2,,,,,,,,,,,,,
C2H6,White cell FTIR,EF,g kg-1,,,0.62,0.39,0.83,0.24,0.72,,,0.48,,,,,,,,,,,,,
C2H6,White cell FTIR,EF unc,g kg-1,,,0.14,0.07,0.31,0.04,0.14,,,0.09,,,,,,,,,,,,,
C2H2,SIFT-MS,EF,g kg-1,,,,,,,,,,0.35,,,,,,,,,,,,,
C2H2,SIFT-MS,EF unc,g kg-1,,,,,,,,,,0.09,,,,,,,,,,,,,
HCN,SIFT-MS,EF,g kg-1,,,,,,,,,,0.7,,,,,,,,,,,,,
HCN,SIFT-MS,EF unc,g kg-1,,,,,,,,,,0.2,,,,,,,,,,,,,
H2CO,SIFT-MS,EF,g kg-1,,,,,,,,,,2.3,,,,,,,,,,,,,
H2CO,SIFT-MS,EF unc,g kg-1,,,,,,,,,,0.5,,,,,,,,,,,,,
CH3OH,SIFT-MS,EF,g kg-1,,,4.2,2.6,,1.6,3.8,,,3,,,,,,,,,,,,,
CH3OH,SIFT-MS,EF unc,g kg-1,,,0.9,0.5,,0.5,1.4,,,0.5,,,,,,,,,,,,,
CH3CN,SIFT-MS,EF,g kg-1,,,0.58,0.59,0.34,0.76,0.80,,,0.7,,,,,,,,,,,,,
CH3CN,SIFT-MS,EF unc,g kg-1,,,0.19,0.11,0.13,0.28,0.22,,,0.1,,,,,,,,,,,,,
CH3CHO,SIFT-MS,EF,g kg-1,,,1.2,1.3,2.4,1.4,2.1,,,1.3,,,,,,,,,,,,,
CH3CHO,SIFT-MS,EF unc,g kg-1,,,0.8,0.2,0.9,0.4,1.0,,,0.3,,,,,,,,,,,,,
C2H5OH,SIFT-MS,EF,g kg-1,,,,,,,,,,0.04,,,,,,,,,,,,,
C2H5OH,SIFT-MS,EF unc,g kg-1,,,,,,,,,,0.01,,,,,,,,,,,,,
C4H6 (butadiene),SIFT-MS,EF,g kg-1,,,0.17,0.17,0.11,0.13,0.16,,,0.23,,,,,,,,,,,,,
C4H6 (butadiene),SIFT-MS,EF unc,g kg-1,,,0.03,0.03,0.02,0.04,0.03,,,0.04,,,,,,,,,,,,,
C3H6O (acetone + propanal),SIFT-MS,EF,g kg-1,,,0.9,0.9,1.6,0.7,1.0,,,0.8,,,,,,,,,,,,,
C3H6O (acetone + propanal),SIFT-MS,EF unc,g kg-1,,,0.3,0.2,0.6,0.2,0.8,,,0.2,,,,,,,,,,,,,
C4H5N (pyrrole),SIFT-MS,EF,g kg-1,,,,,,,,,,0.16,,,,,,,,,,,,,
C4H5N (pyrrole),SIFT-MS,EF unc,g kg-1,,,,,,,,,,0.08,,,,,,,,,,,,,
C4H4O + C5H8 (furan + isoprene),SIFT-MS,EF,g kg-1,,,0.7,0.3,1.4,0.2,0.5,,,0.5,,,,,,,,,,,,,
C4H4O + C5H8 (furan + isoprene),SIFT-MS,EF unc,g kg-1,,,0.1,0.1,0.6,0.1,0.1,,,0.1,,,,,,,,,,,,,
"C4H6O (2-butenal, methacrolein, methyl vinyl ketone)",SIFT-MS,EF,g kg-1,,,,,,,,,,1,,,,,,,,,,,,,
"C4H6O (2-butenal, methacrolein, methyl vinyl ketone)",SIFT-MS,EF unc,g kg-1,,,,,,,,,,0.3,,,,,,,,,,,,,
C4H8O (butanone),SIFT-MS,EF,g kg-1,,,,,,,,,,0.25,,,,,,,,,,,,,
C4H8O (butanone),SIFT-MS,EF unc,g kg-1,,,,,,,,,,0.05,,,,,,,,,,,,,
C6H6,SIFT-MS,EF,g kg-1,,,0.45,0.36,0.04,0.46,0.35,,,0.39,,,,,,,,,,,,,
C6H6,SIFT-MS,EF unc,g kg-1,,,0.12,0.06,0.01,0.07,0.07,,,0.07,,,,,,,,,,,,,
C7H8 (toluene),SIFT-MS,EF,g kg-1,,,0.17,0.23,0.34,0.13,0.28,,,0.23,,,,,,,,,,,,,
C7H8 (toluene),SIFT-MS,EF unc,g kg-1,,,0.09,0.04,0.26,0.03,0.17,,,0.05,,,,,,,,,,,,,
C8H10,SIFT-MS,EF,g kg-1,,,,,,,,,,0.11,,,,,,,,,,,,,
C8H10,SIFT-MS,EF unc,g kg-1,,,,,,,,,,0.03,,,,,,,,,,,,,
C10H16 + C10H18O (monoterpenes),SIFT-MS,EF,g kg-1,,,,,,,,,,0.5,,,,,,,,,,,,,
C10H16 + C10H18O (monoterpenes),SIFT-MS,EF unc,g kg-1,,,,,,,,,,0.1,,,,,,,,,,,,,
